directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Commerce et Service,Description à venir,"Rue de Rocroi, 19",baileux,"Rue de Rocroi, 19, 6464 BAILEUX",50.0296,baileux,4.373868,6464.0,Epicerie Baileusienne,060/21 46 70,https://www.facebook.com/lepiceriebaileusienne,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3270"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/httpchimaycommerce.wpengine.comwp-contentuploads202007auberge-de-poteaupre-300x203.jpg"" alt="""" width=""300"" height=""203"" />","Rue de Poteaupré,5",bourlers,"Rue de Poteaupré,5, 6464 BOURLERS",49.988679,bourlers,4.342108,6464.0,Espace Chimay,060/21.14.33,https://www.facebook.com/EspaceChimay/,https://chimay.com/lespace-chimay/
Resto et Snack,Description à venir,"Place Léopold, 10",chimay,"Place Léopold, 10, 6460 CHIMAY",50.046995,chimay,4.318406,6460.0,Espace Pizza,060/45 53 33,https://www.facebook.com/Espace-pizza-Chimay-271581706268497,A venir
Sports et Loisirs,Description à venir,Rue  de Virelles 18,chimay,"Rue  de Virelles 18, 6460 CHIMAY",50.049156,chimay,4.320624,6460.0,Espaces Car Srl ,060/219 280,A venir,A venir
Commerce et Service,Description à venir,"Rue du Lac, 20",virelles,"Rue du Lac, 20, 6461 VIRELLES",50.066204,virelles,4.336128,6461.0,Ets Brousmiche-Michelet,060/21 13 66,https://www.facebook.com/bmmazout/,https://www.bmmazout.be/
Commerce et Service,Description à venir,"Rue de Forges, 51",chimay,"Rue de Forges, 51, 6460 CHIMAY",50.041732,chimay,4.318864,6460.0,Ets Canivet,060/21 11 65,A venir,https://www.canivetchimay.be/
Commerce et Service,Description à venir,"Rue du Lac, 27 ",virelles,"Rue du Lac, 27 , 6461 VIRELLES",50.065787,virelles,4.335976,6461.0,Fagnes Et Saveurs,060/21 24 49,https://www.facebook.com/FagnessaveursScrl,A venir
Commerce et Service,Description à venir,Chaussée de Mons 61/63,robechies,"Chaussée de Mons 61/63, 6460 ROBECHIES",50.070094,robechies,4.294437,6460.0,Ferme De La Barriere,060/21 03 70,A venir,A venir
Resto et Snack,Description à venir,"Rue de Scourmont, 8b",bourlers,"Rue de Scourmont, 8b, 6464 BOURLERS",49.983862,bourlers,4.34866,6464.0,Ferme Des 4 Saisons,060/21 42 46,https://www.facebook.com/La-Ferme-des-4-Saisons-1791295941100486,A venir
Commerce et Service,Description à venir,Ferme Mouligneau 272,forges,"Ferme Mouligneau 272, 6464 FORGES",50.029519,forges,4.319204,6464.0,Ferme Du Mouligneau,060/21 13 89,A venir,A venir
Commerce et Service,Description à venir,Rue Neuf Maisons 2/3,vaulx,"Rue Neuf Maisons 2/3, 6462 VAULX",50.05225,vaulx,4.36322,6462.0,Ferme Lonensis,015/51 17 04,A venir,A venir
Sports et Loisirs,Description à venir,Rue jean Fichbach 1a,chimay,"Rue jean Fichbach 1a, 6460 Chimay",50.050096,chimay,4.317944,6460.0,Fitness Sport Center Chimay,0472/75 70 34 ,https://www.facebook.com/FitnessSportCenterChimay,A venir
Commerce et Service,Description à venir,rue de Bourlers 2a,chimay,"rue de bourlers 2a, 6460 CHIMAY",50.047725,chimay,4.320939,6460.0,Electro Pierrot,060/21 39 43,https://www.facebook.com/fixmyphonebelgique,https://www.electropierrot.be
Sports et Loisirs,Description à venir,"Rue du cimetière, 274",forges,"Rue du cimetière, 274, 6464 FORGES",50.027554,forges,4.319696,6464.0,Flora 2000,060/21 47 56,A venir,A venir
Banque et Finance,Description à venir,Place Froissart,chimay,"Place Froissart, 6460 CHIMAY",50.047229,chimay,4.31354,6460.0,BNP-Paribas Fortis,060/21 03 50,A venir,A venir
Resto et Snack,Description à venir,place de saint remy ,saint-remy,"place de saint remy , 6460 SAINT-REMY",50.045899,saint-remy,4.295619,6460.0,Friterie Chez Coco,0496/98 38 73,https://www.facebook.com/Friterie-chez-Coco-et-Maryline-1649393998637556,A venir
Resto et Snack,Description à venir,Place léopold ,chimay,"Place léopold , 6460 Chimay",50.047302,chimay,4.317328,6460.0,Friterie Des Fagnes,0,A venir,A venir
Sports et Loisirs,Description à venir,Zoning industriel 20,baileux,"Zoning industriel 20, 6464 BAILEUX",50.035664,baileux,4.379526,6464.0,Garage Dusaucy-Ligier,060/21 17 61,https://www.facebook.com/LigierDusaucy,A venir
Sports et Loisirs,Description à venir,"Chée de Couvin, 29",chimay,"Chée de Couvin, 29, 6460 CHIMAY",50.047179,chimay,4.320945,6460.0,Garage Gilloteaux,060/21 12 95,A venir,A venir
Sports et Loisirs,Description à venir,"Zoning industriel,7",baileux,"Zoning industriel,7, 6465 BAILEUX",50.035664,baileux,4.379526,6465.0,Garage Guérin Jean-Yves Sprl,060/21 04 45,A venir,https://www.dealer.volvotrucks.be/guerin/about-us.html
Sports et Loisirs,Description à venir,"Rue de la Fagne, 1",chimay,"Rue de la Fagne, 1, 6460 CHIMAY",50.119315,chimay,4.282209,6460.0,Garage Leseine P,060/41 28 76,A venir,A venir
Sports et Loisirs,Description à venir,Chaussée de Mons 102,chimay,"Chaussée de Mons 102, 6460 CHIMAY",50.0671,chimay,4.295705,6460.0,Garage Renault,060/21 27 05,https://www.facebook.com/garageoliviergreme,A venir
Sports et Loisirs,Description à venir,"Rue Poterie, 21",forges,"Rue Poterie, 21, 6464 FORGES",50.025916,forges,4.328278,6464.0,Garage Schouleur,060/21 16 09,https://www.facebook.com/Garage-Schouleur-589228067900412,https://www.eurorepar.be/garage-schouleur-5354.html
Sports et Loisirs,Description à venir,"Rue de Virelles, 34",chimay,"Rue de Virelles, 34, 6460 CHIMAY",50.050464,chimay,4.326827,6460.0,Garage Vilain J. Et Fils,060/21 12 83,https://www.facebook.com/vilainetfils,http://www.vilainetfils.be/
Sports et Loisirs,Description à venir,rue des marcheurs ,virelles,"rue des marcheurs , 6461 virelles",50.062517,virelles,4.331427,6461.0,Giroux Anne,0479/71 08 08,A venir,A venir
Commerce et Service,Description à venir,Rue du Château 11,chimay,"Rue du Château 11, 6460 CHIMAY",50.049005,chimay,4.314518,6460.0,Gite De La Principaute,0478/46.36.25,https://www.facebook.com/Gite.Chimay/,https://www.gitedelaprincipaute.be
Commerce et Service,Description à venir,Rue de Scourmont 8a,bourlers,"Rue de Scourmont 8a, 6464 BOURLERS",49.983862,bourlers,4.34866,6464.0,Gite Des 4 Saisons,060/21 42 46,A venir,A venir
Commerce et Service,Description à venir,Rue Bruyère 45,baileux,"Rue Bruyère 45, 6464 BAILEUX",50.028203,baileux,4.393621,6464.0,Gite La Bruyere,060/21 46 17,A venir,A venir
Resto et Snack,Description à venir,Grand Place 18,chimay,"Grand Place 18, 6460 CHIMAY",50.04873,chimay,4.314175,6460.0,Le Grand Café,0484/74 47 42,https://www.facebook.com/grandcafechimay,A venir
Commerce et Service,"Morphocoiffure dame, homme, enfant

Coloration végétale",Rue Rogier 7,chimay,"Rue Rogier 7, 6460 CHIMAY",50.049339,chimay,4.316832,6460.0,Greg Coiffure,060/21 55 95,https://www.facebook.com/gregcoiffure/,A venir
Commerce et Service,Description à venir,"Avenue des Tilleuls, 21",chimay,"Avenue des Tilleuls, 21, 6460 CHIMAY",50.044582,chimay,4.302708,6460.0,Home De L'Art,060/21 44 77,A venir,A venir
Commerce et Service,Description à venir,"Courtil au Martia, 18",lompret,"Courtil au Martia, 18, 6463 LOMPRET",50.064233,lompret,4.379514,6463.0,Hotel De Franc Bois,060/21 44 75,A venir,A venir
Commerce et Service,Description à venir,Chée de Couvin,chimay,"Chée de Couvin, 6460 CHIMAY",50.04432,chimay,4.332971,6460.0,Hubo,060/21 42 31,A venir,A venir
Autre,Description à venir,"Rue de Virelles, 20",chimay,"Rue de Virelles, 20, 6460 CHIMAY",50.049785,chimay,4.321447,6460.0,Imprimerie Michaux S.A.,060/21 10 16,A venir,A venir
Banque et Finance,Description à venir,"Place des Princes, 2",chimay,"Place des Princes, 2, 6460 CHIMAY",50.049006,chimay,4.319955,6460.0,Ing,060/21 04 00,A venir,A venir
Sports et Loisirs,Description à venir,"Rue des Pommiers, 22",chimay,"Rue des Pommiers, 22, 6460 CHIMAY",50.045687,chimay,4.326038,6460.0,Institut Carole,060/21 53 73,https://www.facebook.com/institutCaroleChimay,http://www.institutcarole.be/
