directory_category,entity_featured__value,post_content,location_address__street,location_address__street2,location_address__city,location_address__country,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,location_address__province,location_address__timezone,directory_photos,voting_rating,directory_tag,post_title,voting_updown,field_opening_hours,field_phone,field_price_range,field_social_accounts__facebook,field_social_accounts__instagram,field_social_accounts__linkedin,field_social_accounts__twitter,field_social_accounts__youtube,field_videos,field_website
commerce,,"Description à venir","rue des Hoeules 57",,villers,BE,"rue des Hoeules 57, 6460 villers",50.030637,,4.261994,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007interieur-passion.jpg,,,"Interieur Passion",,,60456385,,https://www.facebook.com/pages/category/Home-Improvement/Int%C3%A9rieur-Passion-2453344994680504/,,,,,,
commerce,,"<img class=""alignnone size-medium wp-image-3636"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/interieurtendance-300x200.jpg"" alt="""" width=""300"" height=""200"" />Description à venir","Zoning Industriel 7a",,BAILEUX,BE,"Zoning Industriel 7a, 6464 BAILEUX",50.035664,baileux,4.379526,6464,Wallonie,Europe/Brussels,interieurtendance.jpg,,,"Interieur Tendance",,,"0491/39 56 68",0|100,https://www.facebook.com/interieur.tendance,,,,,,
traiteur,,"Description à venir","rue de la gare 49",,Chimay,BE,"rue de la gare 49, 6460 Chimay",50.033235,chimay,4.264719,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007just-traiteur.jpg,,,"Just Traiteur",,,0472/619229,,https://www.facebook.com/justtraiteur,,,,,,
hebergement,,"Description à venir","Les Fermes 70",,BAILIEVRE,BE,"Les Fermes 70, 6460 BAILIEVRE",50.072106,bailievre,4.234756,6460,Wallonie,Europe/Brussels,,,,"La Baie Du Lievre",,,"060/21 21 44",,,,,,,,
commerce,,"Description à venir","Rue Virelles,18a",,CHIMAY,BE,"Rue Virelles,18a, 6460 CHIMAY",50.049104,chimay,4.320699,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-berceuse.jpg,,,"La Berceuse",,,"060/21 4 240",,https://www.facebook.com/La-Berceuse-196449573710128,,,,,,
hebergement,,"Description à venir","Rue Albert Dumont 59",,LOMPRET,BE,"Rue Albert Dumont 59, 6463 LOMPRET",50.088211,lompret,4.380982,6463,Wallonie,Europe/Brussels,,,,"La Boerderij",,,"0478/93 21 03",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue du Rond Point",,FORGES,BE,"Rue du Rond Point, 6464 FORGES",49.994197,forges,4.314321,6464,Wallonie,Europe/Brussels,,,,"La Camargue",,,"060/21 18 02",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Place Froissart 8",,CHIMAY,BE,"Place Froissart 8, 6460 CHIMAY",50.047527,chimay,4.314809,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-charlotte.jpg,,,"La Charlotte",,,"060/21 21 00",,https://www.facebook.com/lacharlotte.chimay,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Grand-Place 16",,CHIMAY,BE,"Grand-Place 16, 6460 CHIMAY",50.048741,chimay,4.314232,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-chimassiette.jpg,,,"La Chimassiette",,,060/21.90.42,,https://www.facebook.com/lachimassiette,,,,,,
restaurant-cafe-snack,,"Description à venir","Rte des Deux Parcs 2",,CHIMAY,BE,"Rte des Deux Parcs 2, 6460 CHIMAY",50.084453,chimay,4.266021,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-foulque.jpg,,,"La  Foulque",,,"060/21 17 35",,,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Rue de Virelles, 18b",,CHIMAY,BE,"Rue de Virelles, 18b, 6460 CHIMAY",50.049156,chimay,4.320624,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-fringale.jpg,,,"La Fringale",,,"0472/42,68,95",,https://www.facebook.com/AlFringale,,,,,,
animaux,,"Description à venir","Rue Robert Willame,161",,FORGES,BE,"Rue Robert Willame,161, 6464 FORGES",50.02427,forges,4.32434,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-maison-du-pecheur.jpg,,,"La Maison Du Pecheur",,,"060 21 19 14 ou 0479/30 53 26",0|100,https://www.facebook.com/La-maison-du-p%C3%AAcheur-259477884976905,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Place Léopold, 7",,CHIMAY,BE,"Place Léopold, 7, 6460 CHIMAY",50.047093,chimay,4.318598,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-malterie.jpg,,,"La Malterie",,,"060/21 32 30",,https://www.facebook.com/lamalteriechimay/,,,,,,
restaurant-cafe-snack,,"Description à venir","rue van humbeeck",,Chimay,BE,"rue van humbeeck, 6460 Chimay",50.047581,chimay,4.319759,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-petite-fourchette.jpg,,,"La Petite Fourchette",,,060/730443,,https://www.facebook.com/La-petite-fourchette-1641672419439198,,,,,,
commerce,,"Description à venir","Grand-Place, 26",,CHIMAY,BE,"Grand-Place, 26, 6460 CHIMAY",50.049137,chimay,4.315973,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007la-providence.jpg,,,"La Providence",,,"060/21 10 34",,,,,,,,
animaux,,"Description à venir","Rue des Tilleuls 14",,CHIMAY,BE,"Rue des Tilleuls 14, 6460 CHIMAY",50.04598,chimay,4.30471,6460,Wallonie,Europe/Brussels,,,,"La Vallee Des Toutous",,,"0474 58 16 45",,https://www.facebook.com/valedestoutous,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue du Pont du Welz",,CHIMAY,BE,"Rue du Pont du Welz, 6460 CHIMAY",50.048698,chimay,4.315263,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007lafter.jpg,,,L'After,,,,,,,,,,,
coiffure,,"<img class=""alignnone size-medium wp-image-3615"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/anamorphose-300x219.jpg"" alt="""" width=""300"" height=""219"" />Description à venir","Rue du Marché 4a",,VIRELLES,BE,"Rue du Marché 4a, 6461 VIRELLES",50.064373,virelles,4.333404,6461,Wallonie,Europe/Brussels,anamorphose.jpg,,,L'Anamorphose,,,"060/51 11 70",0|100,https://www.facebook.com/Lanamorphose-salon-de-coiffure-253021834749181,,,,,,https://www.coiffurelanamorphose.be-
art-artisanat;artisan-createur,,"<img class=""alignnone size-medium wp-image-3595"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/76190537_744916546023092_2054640211840729088_n-300x225.jpg"" alt="""" width=""300"" height=""225"" />Description à venir","Rue au Filet 18",,CHIMAY,BE,"Rue au Filet 18, 6460 CHIMAY",50.048905,chimay,4.315866,6460,Wallonie,Europe/Brussels,76190537_744916546023092_2054640211840729088_n.jpg,,,"L'Atelier D'Isa",,,"0477/76 70 61",0|100,https://www.facebook.com/Atelier.Poterie.Chimay.ceramique.activite/,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue de Rocroi,102",,BAILEUX,BE,"Rue de Rocroi,102, 6464 BAILEUX",50.00322,baileux,4.38089,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007lattrape-loup.jpg,,,L'Attrape-Loup,,,"060/21 11 47",,https://www.facebook.com/LattrapeLoup,,,,,,
restaurant-cafe-snack,,"Description à venir","Chée de Mons, 55b",,CHIMAY,BE,"Chée de Mons, 55b, 6460 CHIMAY",50.070685,chimay,4.293893,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-beauchamp.jpg,,,"Le Beauchamp",,,"060/21 38 70",,https://www.facebook.com/LeBeauchamp,,,,,,
restaurant-cafe-snack,,"Description à venir","Place de Virelles 18",,VIRELLES,BE,"Place de Virelles 18, 6461 VIRELLES",50.062616,virelles,4.333511,6461,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-cerf-feuille.jpg,,,"Le Cerf Feuille",,,"060/34 63 72",,https://www.facebook.com/Cerffeuillevirelles,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue rogier",,Chimay,BE,"Rue rogier, 6460 Chimay",50.049302,chimay,4.316648,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-comptoir-doscar.jpg,,,"Le Comptoir D'Oscar",,,060/512935,,https://www.facebook.com/Le-comptoir-dOscar-656673934854338,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue de Virelles,18",,CHIMAY,BE,"Rue de Virelles,18, 6460 CHIMAY",50.049156,chimay,4.320624,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-crocmidi.jpg,,,"Le Croc'Midi",,,"060/51 41 14 NON ATTRIBUE",,https://www.facebook.com/Le-CrocMidi-Sandwicherie-Chimay-221812484548388,,,,,,
commerce-alimentaire,,"Description à venir","rue forge-monseu",,virelles,BE,"rue forge-monseu, 6461 virelles",50.05324,virelles,4.33813,6461,Wallonie,Europe/Brussels,,,,"Le Jardin Des 2 Rivieres",,,0476/338429,,https://www.facebook.com/pages/category/Gardener/Jardin-des-deux-Rivi%C3%A8res-2375970539293927/,,,,,,http://www.jardindesdeuxrivieres.be/
hebergement,,"Description à venir","Rue du Feuillet 18",,SAINT-REMY,BE,"Rue du Feuillet 18, 6460 SAINT-REMY",50.043149,saint-remy,4.29917,6460,Wallonie,Europe/Brussels,,,,"Le Jardin Du Feuillet",,,"060/21 36 69",,,,,,,,
hebergement,,"Description à venir","Rue de Bailièvre 96B",,ROBECHIES,BE,"Rue de Bailièvre 96B, 6460 ROBECHIES",50.070643,robechies,4.276234,6460,Wallonie,Europe/Brussels,,,,"Le Marteaubois",,,"0475/36 18 35",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Pl. de l'église 23",,BAILEUX,BE,"Pl. de l'église 23, 6464 BAILEUX",50.02871,baileux,4.37605,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-neemrod.jpg,,,"Le Nemrod",,,"060/51 24 90",0|100,,,,,,,
librairie-papeterie,,"Description à venir","Rue des Ormeaux, 25",,CHIMAY,BE,"Rue des Ormeaux, 25, 6460 CHIMAY",50.0477,chimay,4.316348,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-papyrus.jpg,,,"Le Papyrus",,,"060/21 44 08",,https://www.facebook.com/librairiechimay,,,,,,
hebergement,,"Description à venir","Place du Chapitre, 5",,CHIMAY,BE,"Place du Chapitre, 5, 6460 CHIMAY",50.049597,chimay,4.316536,6460,Wallonie,Europe/Brussels,,,,"Le Petit Chapitre",,,"060/21 10 42",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Grand Place, 28",,CHIMAY,BE,"Grand Place, 28, 6460 CHIMAY",50.049138,chimay,4.31597,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-picotin.jpg,,,"Le Picotin",,,"060/21 18 97",,,,,,,,
jardins-et-fleurs,,"Description à venir","Chaussée de Couvin 3",,CHIMAY,BE,"Chaussée de Couvin 3, 6460 CHIMAY",50.04731,chimay,4.319616,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-pti-fleuriste.jpg,,,"Le P'Ti Fleuriste",,,"060/41 12 77",,https://www.facebook.com/leptifleuriste/,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Grand-rue, 22",,CHIMAY,BE,"Grand-rue, 22, 6460 CHIMAY",50.048647,chimay,4.314167,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-queen-mary.jpg,,,"Le Queen-Mary",,,"060/21 23 81",,https://www.facebook.com/queenmarychimay,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Place Léopold, 3",,CHIMAY,BE,"Place Léopold, 3, 6460 CHIMAY",50.04763,chimay,4.318446,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-relais.jpg,,,"Le Relais",,,"060/21 13 53",,,,,,,,
restaurant-cafe-snack,,"Description à venir","R. de Bailièvre 2b",,ROBECHIES,BE,"R. de Bailièvre 2b, 6460 ROBECHIES",50.072694,robechies,4.259559,6460,Wallonie,Europe/Brussels,,,,"Le Repos Du Templier",,,"0497/46 86 92",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue Sainte Monégonde 44",,SALLES,BE,"Rue Sainte Monégonde 44, 6460 SALLES",50.055611,salles,4.245141,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-snack-saint-antoine.jpg,,,"Le Snack Saint Antoine",,,"060/21 93 19",,https://www.facebook.com/snacksaintantoine,,,,,,
commerce,,"Description à venir","rue de la station 171",,Forges,BE,"rue de la station 171, 6464 Forges",50.02216,forges,4.325282,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-temps-dun-cadeau.jpg,,,"Le Temps D'Un Cadeau",,,"0489 91 47 47",,https://www.facebook.com/letempsduncadeau,,,,,,https://letempsduncadeau.ccvshop.be/
commerce,,"Description à venir","Rue de Bourlers 32a",,Chimay,BE,"Rue de Bourlers 32a, 6460 Chimay, Belgique",50.045721,chimay,4.3231,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007le-tournesol-un-choix-de-vie.jpg,,,"Le Tournesol-Un Choix De Vie",,,"060/21 39 18",0|100,,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue Joaris, 27",,LOMPRET,BE,"Rue Joaris, 27, 6463 LOMPRET",50.063838,lompret,4.378054,6463,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007leau-blanche.jpg,,,"L'Eau Blanche",,,"060/21 18 64",,https://www.facebook.com/leaublanchelompret,,,,,,
commerce-alimentaire,,"Description à venir","Rue de Bourlers 1a",,CHIMAY,BE,"Rue de Bourlers 1a, 6460 CHIMAY",50.047945,chimay,4.321365,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007leonidas.jpg,,,Leonidas,,,"060/21 23 90",,,,,,,,
banque-et-assurance,,"Description à venir","Chée de Couvin, 37",,CHIMAY,BE,"Chée de Couvin, 37, 6460 CHIMAY",50.047067,chimay,4.321428,6460,Wallonie,Europe/Brussels,,,,"Les Ap Assurances",,,"060/21 10 30",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue Roger de Keyser 101",,Forges,BE,"Rue Roger de Keyser 101, 6464 Forges, Belgique",50.013655,forges,4.319644,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007les-etans-gourmands.jpg,,,"Les Etangs Gourmands",,,"060/21 26 60 - 0479/33 81 83",0|100,https://www.facebook.com/LesEtangsGourmands,,,,,,
textile,,"Description à venir","place froissart 32a",,Chimay,BE,"place froissart 32a, 6460 Chimay",50.047036,chimay,4.313293,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007les-petits-branches.jpg,,,"Les Petits Branchés",,,"0477 67 76 27",,,,,,,,
loisirs,,"Description à venir","Chaussée de Trélon 24",,CHIMAY,BE,"Chaussée de Trélon 24, 6460 CHIMAY",50.052559,chimay,4.298644,6460,Wallonie,Europe/Brussels,,,,"Les Petits Lutins",,,"0471/18 78 91",,,,,,,,
commerce-alimentaire,,"Description à venir","Chaussée de Trélon,20",,CHIMAY,BE,"Chaussée de Trélon,20, 6460 CHIMAY",50.052175,chimay,4.300949,6460,Wallonie,Europe/Brussels,discobeer.jpg,,,"Les Riches Paturages",,,"060/51 13 15",0|100,,,,,,,
esthetique,,"Description à venir","Rue des Usines 1b",,Bourlers,BE,"Rue des Usines 1b, 6464 Bourlers",50.024738,bourlers,4.344918,6464,Wallonie,Europe/Brussels,,,,L'Évasion,,,0478/292652,,,,,,,,
supermarche,,"Description à venir","Ch. de Couvin",,CHIMAY,BE,"Ch. de Couvin, 6460 CHIMAY",50.044804,chimay,4.330861,6460,Wallonie,Europe/Brussels,,,,Lidl,,,,,,,,,,,
textile,,"Description à venir","Rue des Ormeaux, 8",,CHIMAY,BE,"Rue des Ormeaux, 8, 6460 CHIMAY",50.047644,chimay,4.315569,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007lingerie-dominique.jpg,,,"Lingerie Dominique",,,"060/21 32 54",,https://www.facebook.com/pages/category/Women-s-Clothing-Store/Lingerie-Dominique-534104916750679/,,,,,,
commerce,,"Description à venir","Pont du Welz 7",,CHIMAY,BE,"Pont du Welz 7, 6460 CHIMAY",50.048621,chimay,4.315336,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007lolipop.jpg,,,Lolipop,,,"060/45 59 33",,https://www.facebook.com/lolipopchimay,,,,,,
commerce-alimentaire,,"Fabrication artisanale de pâtisserie fine, maCarons, viennoiseries, glaces, chocolats, biscuiterie et confiseries.
Dépôt de boulangerie (Pains et baguettes).
Cours de pâtisserie.","rue de l'athénée 32",,Chimay,BE,"rue de l'athénée 32, 6460 Chimay",50.048219,chimay,4.314939,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007macaron-co.jpg,,,"Macaro'N Co",,,,0|100,https://www.facebook.com/macaroandco,,,,,,
supermarche,,"Description à venir","Chée de Mons, 17",,CHIMAY,BE,"Chée de Mons, 17, 6460 CHIMAY",50.051241,chimay,4.309154,6460,Wallonie,Europe/Brussels,,,,"Match S.A.",,,"060/21 02 80",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Chaussée de Couvin, 118",,CHIMAY,BE,"Chaussée de Couvin, 118, 6460 CHIMAY",50.044493,chimay,4.331068,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007meet-wok.jpg,,,"Meet Wok",,,"060/21 95 88",,https://www.facebook.com/meetwokchimay,,,,,,
agence-de-voyage,,"Description à venir","Rue du Faubourg 12",,CHIMAY,BE,"Rue du Faubourg 12, 6460 CHIMAY",50.047349,chimay,4.312866,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007ml-voyages.jpg,,,"Ml Voyages",,,"060/21 42 69",,https://www.facebook.com/mlvoyages,,,,,,
commerce,,"Description à venir","Rue du faubourg 2",,Chimay,BE,"Rue du faubourg 2, 6460 Chimay",50.047305,chimay,4.313231,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007ms-hair-and-beauty.jpg,,,"Ms Hair And Beauty",,,"0475 56 88 41",,https://www.facebook.com/MS-Hair-Beauty-Chimay-Maud-Stevens-447203525417881,,,,,,
commerce,,"<img class=""alignnone size-medium wp-image-3642"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/multiboispoucet-300x188.jpg"" alt="""" width=""300"" height=""188"" />Description à venir","Zoning Industriel",,BAILEUX,BE,"Zoning Industriel, 6464 BAILEUX",50.035656,baileux,4.379384,6464,Wallonie,Europe/Brussels,multiboispoucet.jpg,,,"Multibois Poucet",,,060/21.26.61,0|100,https://www.facebook.com/MultiboisPoucetSA,,,,,,https://www.multibois.be
loisirs,,"Description à venir","rue frontière 68",,riezes,BE,"rue frontière 68, 6464 riezes",49.956144,riezes,4.366254,6464,Wallonie,Europe/Brussels,,,,"Musée Du Grand Méchant Loup",,,060/399939,,https://www.facebook.com/riezestoys,,,,,,http://www.legrandmechantloup.biz/
coiffure,,"<img class=""alignnone size-medium wp-image-3580"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/NhairJ-300x218.jpg"" alt="""" width=""300"" height=""218"" />Description à venir","Rue de la Bouchère 21",,CHIMAY,BE,"Rue de la Bouchère 21, 6460 CHIMAY",50.049784,chimay,4.309263,6460,Wallonie,Europe/Brussels,NhairJ-scaled.jpg,,,N'Hair'J,,,"0477/88 85 26",0|100,https://www.facebook.com/Nhairj-602222553278310,,,,,,
